d,CF12012,CF312012,CF22012,CF322012,CF32012,CF332012,CF42012,CF342012,CF52012,CF352012,CF62012,CF362012,CF72012,CF372012,CF82012,CF382012,CF92012,CF392012,CF102012,CF3102012,CF112012,CF3112012,CF122012,CF3122012,CF12013,CF312013,CF22013,CF322013,CF32013,CF332013,CF42013,CF342013,CF52013,CF352013,CF62013,CF362013,CF72013,CF372013,CF82013,CF382013,CF92013,CF392013,CF102013,CF3102013,CF112013,CF3112013,CF122013,CF3122013,CF12014,CF312014,CF22014,CF322014,CF32014,CF332014,CF42014,CF342014,CF52014,CF352014,CF62014,CF362014,CF72014,CF372014,CF82014,CF382014,CF92014,CF392014,CF102014,CF3102014,CF112014,CF3112014,CF122014,CF3122014,CF12015,CF312015,CF22015,CF322015,CF32015,CF332015,CF42015,CF342015,CF52015,CF352015,CF62015,CF362015,CF72015,CF372015,CF82015,CF382015,CF92015,CF392015,CF102015,CF3102015,CF112015,CF3112015,CF122015,CF3122015,CF12016,CF312016,CF22016,CF322016,CF32016,CF332016,CF42016,CF342016,CF52016,CF352016,CF62016,CF362016,CF72016,CF372016,CF82016,CF382016,CF92016,CF392016,CF102016,CF3102016,CF112016,CF3112016,CF122016,CF3122016,CF12017,CF312017,CF22017,CF322017,CF32017,CF332017,CF42017,CF342017,CF52017,CF352017,CF62017,CF362017,CF72017,CF372017,CF82017,CF382017,CF92017,CF392017,CF102017,CF3102017,CF112017,CF3112017,CF122017,CF3122017,CF12018,CF312018,CF22018,CF322018,CF32018,CF332018,CF42018,CF342018,CF52018,CF352018,CF62018,CF362018,CF72018,CF372018,CF82018,CF382018,CF92018,CF392018,CF102018,CF3102018,CF112018,CF3112018,CF122018,CF3122018,CF12019,CF312019,CF22019,CF322019,CF32019,CF332019,CF42019,CF342019,CF52019,CF352019,CF62019,CF362019,CF72019,CF372019,CF82019,CF382019,CF92019,CF392019,CF102019,CF3102019,CF112019,CF3112019,CF122019,CF3122019,CF12020,CF312020,CF22020,CF322020,CF32020,CF332020,CF42020,CF342020
03/31/1967,-0.48,,-0.48,,-0.48,,-0.48,,-0.48,,-0.47,,-0.48,,-0.47,,-0.47,,-0.47,,-0.47,,-0.47,,-0.48,,-0.48,,-0.48,,-0.48,,-0.48,,-0.48,,-0.48,,-0.48,,-0.48,,-0.48,,-0.48,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.49,,-0.49,,-0.5,,-0.5,,-0.5,,-0.5,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.49,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.5,,-0.48,,-0.48,
04/30/1967,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.14,,-0.14,,-0.15,,-0.15,,-0.14,,-0.15,,-0.15,,-0.14,,-0.14,,-0.14,,-0.14,,-0.14,,-0.14,,-0.14,,-0.14,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.16,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.14,,-0.14,,-0.14,,-0.14,,-0.14,,-0.14,,-0.14,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.16,,-0.16,,-0.16,,-0.16,,-0.16,,-0.16,,-0.16,,-0.16,,-0.16,,-0.16,,-0.16,,-0.17,,-0.17,,-0.17,,-0.17,,-0.17,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.15,,-0.12,,-0.12,
05/31/1967,-0.63,-0.42,-0.63,-0.42,-0.62,-0.42,-0.62,-0.42,-0.62,-0.42,-0.63,-0.42,-0.63,-0.42,-0.63,-0.41,-0.63,-0.42,-0.63,-0.41,-0.63,-0.42,-0.63,-0.42,-0.63,-0.42,-0.63,-0.42,-0.64,-0.42,-0.64,-0.42,-0.63,-0.42,-0.64,-0.42,-0.64,-0.42,-0.64,-0.42,-0.64,-0.42,-0.64,-0.42,-0.64,-0.42,-0.64,-0.43,-0.64,-0.43,-0.64,-0.43,-0.65,-0.43,-0.65,-0.43,-0.65,-0.43,-0.65,-0.43,-0.65,-0.43,-0.65,-0.43,-0.65,-0.43,-0.65,-0.43,-0.66,-0.43,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.43,-0.66,-0.43,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.43,-0.66,-0.43,-0.66,-0.43,-0.66,-0.43,-0.66,-0.43,-0.66,-0.43,-0.66,-0.43,-0.66,-0.43,-0.66,-0.43,-0.66,-0.43,-0.66,-0.43,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.66,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.45,-0.67,-0.44,-0.67,-0.45,-0.67,-0.45,-0.67,-0.45,-0.67,-0.44,-0.67,-0.44,-0.68,-0.44,-0.68,-0.44,-0.68,-0.44,-0.68,-0.44,-0.67,-0.44,-0.67,-0.44,-0.68,-0.44,-0.68,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.44,-0.67,-0.43,-0.67,-0.43
06/30/1967,-0.02,-0.26,-0.02,-0.26,-0.02,-0.26,-0.02,-0.26,-0.02,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.26,-0.01,-0.27,-0.01,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.27,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.02,-0.28,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.27,-0.01,-0.28,-0.01,-0.28,-0.01,-0.28,-0.01,-0.28,-0.01,-0.28,-0.01,-0.28,-0.01,-0.28,-0.01,-0.28,-0.01,-0.28,-0.01,-0.28,-0.01,-0.28,-0.02,-0.28,-0.01,-0.28,-0.02,-0.28,-0.01,-0.28,-0.01,-0.28,0,-0.27,0,-0.27,0,-0.27,0,-0.27,0,-0.27,0,-0.28,0,-0.27,0,-0.27,0,-0.27,0,-0.27,0,-0.27,0,-0.27,0,-0.27,0,-0.27,0,-0.27,0.01,-0.27,0.01,-0.27,0.01,-0.27,0.01,-0.27,0.01,-0.27,0.02,-0.26,0.02,-0.26
07/31/1967,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.33,-0.32,-0.33,-0.32,-0.33,-0.32,-0.33,-0.32,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.34,-0.33,-0.34,-0.33,-0.34,-0.33,-0.34,-0.33,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.35,-0.34,-0.35,-0.34,-0.35,-0.34,-0.35,-0.34,-0.35,-0.34,-0.35,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.35,-0.34,-0.35,-0.35,-0.35,-0.34,-0.35,-0.34,-0.35,-0.34,-0.35,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.35,-0.36,-0.35,-0.36,-0.35,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.35,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.36,-0.34,-0.35,-0.33,-0.35,-0.33
08/31/1967,1.46,0.37,1.46,0.37,1.46,0.37,1.46,0.37,1.46,0.37,1.46,0.38,1.46,0.38,1.46,0.38,1.46,0.38,1.47,0.38,1.47,0.38,1.47,0.38,1.47,0.38,1.47,0.38,1.47,0.38,1.47,0.38,1.48,0.38,1.48,0.38,1.48,0.38,1.48,0.38,1.48,0.38,1.48,0.38,1.48,0.38,1.49,0.38,1.49,0.38,1.49,0.38,1.49,0.38,1.49,0.38,1.49,0.38,1.49,0.38,1.49,0.38,1.5,0.38,1.5,0.38,1.5,0.38,1.5,0.38,1.5,0.38,1.5,0.38,1.5,0.38,1.5,0.38,1.51,0.38,1.51,0.38,1.51,0.38,1.51,0.38,1.51,0.38,1.51,0.38,1.51,0.38,1.51,0.38,1.52,0.39,1.52,0.39,1.52,0.39,1.52,0.39,1.52,0.39,1.53,0.39,1.53,0.39,1.53,0.39,1.53,0.39,1.53,0.39,1.53,0.39,1.53,0.39,1.53,0.39,1.53,0.39,1.53,0.39,1.54,0.4,1.54,0.39,1.54,0.4,1.54,0.4,1.54,0.4,1.54,0.4,1.55,0.4,1.54,0.4,1.54,0.4,1.54,0.39,1.55,0.39,1.55,0.39,1.55,0.39,1.55,0.39,1.55,0.4,1.55,0.4,1.57,0.4,1.57,0.4,1.57,0.4,1.57,0.4,1.57,0.4,1.57,0.4,1.57,0.41,1.58,0.41,1.58,0.41,1.58,0.41,1.58,0.41,1.58,0.41,1.58,0.41,1.58,0.41,1.58,0.41,1.59,0.41,1.58,0.41,1.59,0.41,1.59,0.41,1.59,0.41,1.55,0.41,1.55,0.41
09/30/1967,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.34,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.15,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.33,-0.16,0.34,-0.15,0.34,-0.15,0.34,-0.16,0.34,-0.15,0.34,-0.15,0.34,-0.16,0.34,-0.15,0.34,-0.15,0.34,-0.15,0.34,-0.15,0.34,-0.15,0.34,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.15,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.34,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.35,-0.16,0.36,-0.16,0.36,-0.16,0.36,-0.16,0.36,-0.16,0.36,-0.16,0.36,-0.16,0.36,-0.16,0.36,-0.16,0.35,-0.16,0.35
10/31/1967,0.04,0.45,0.04,0.45,0.04,0.45,0.04,0.45,0.04,0.45,0.04,0.45,0.04,0.45,0.04,0.45,0.05,0.45,0.05,0.45,0.04,0.45,0.04,0.45,0.04,0.45,0.04,0.45,0.04,0.46,0.04,0.46,0.05,0.46,0.05,0.46,0.05,0.46,0.05,0.46,0.05,0.46,0.05,0.46,0.05,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.03,0.46,0.03,0.46,0.03,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.03,0.46,0.04,0.46,0.04,0.46,0.04,0.46,0.04,0.47,0.04,0.47,0.04,0.47,0.04,0.47,0.04,0.47,0.05,0.47,0.04,0.47,0.05,0.47,0.05,0.47,0.05,0.47,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.05,0.48,0.04,0.48,0.04,0.48,0.04,0.48,0.04,0.48,0.04,0.47,0.04,0.47,0.04,0.47,0.04,0.47,0.04,0.47,0.04,0.48,0.04,0.48,0.04,0.48,0.04,0.48,0.04,0.48,0.04,0.48,0.04,0.48,0.04,0.48,0.04,0.49,0.04,0.49,0.04,0.49,0.04,0.49,0.04,0.49,0.04,0.49,0.04,0.49,0.04,0.49,0.04,0.49,0.04,0.49,0.04,0.49,0.04,0.49,0.06,0.48,0.06,0.48
11/30/1967,1.96,0.62,1.97,0.62,1.97,0.62,1.97,0.62,1.97,0.62,1.97,0.62,1.98,0.62,1.98,0.62,1.98,0.63,1.98,0.63,1.98,0.63,1.99,0.63,1.99,0.63,1.99,0.63,1.99,0.63,2,0.63,2,0.63,2,0.63,2,0.63,2.01,0.63,2.01,0.63,2.01,0.64,2.01,0.63,2.01,0.63,2.02,0.64,2.02,0.63,2.02,0.64,2.02,0.64,2.02,0.64,2.02,0.64,2.02,0.63,2.03,0.64,2.03,0.64,2.03,0.64,2.03,0.64,2.03,0.64,2.03,0.64,2.03,0.64,2.04,0.64,2.04,0.64,2.04,0.64,2.04,0.64,2.04,0.64,2.05,0.64,2.05,0.64,2.05,0.64,2.05,0.64,2.05,0.65,2.05,0.65,2.06,0.65,2.06,0.65,2.07,0.65,2.07,0.66,2.07,0.66,2.07,0.66,2.07,0.66,2.08,0.66,2.08,0.66,2.08,0.66,2.09,0.66,2.09,0.66,2.09,0.66,2.1,0.66,2.1,0.66,2.1,0.66,2.1,0.67,2.1,0.67,2.1,0.67,2.11,0.67,2.11,0.66,2.11,0.66,2.11,0.66,2.11,0.66,2.11,0.66,2.11,0.66,2.12,0.66,2.12,0.66,2.12,0.66,2.14,0.67,2.14,0.67,2.14,0.67,2.14,0.67,2.14,0.67,2.14,0.67,2.15,0.67,2.15,0.68,2.15,0.68,2.15,0.68,2.15,0.68,2.16,0.68,2.16,0.68,2.16,0.68,2.16,0.68,2.16,0.68,2.16,0.68,2.17,0.68,2.17,0.68,2.17,0.68,2.16,0.69,2.16,0.69
12/31/1967,1.32,1.11,1.32,1.11,1.33,1.11,1.33,1.11,1.33,1.11,1.33,1.12,1.33,1.12,1.33,1.12,1.33,1.12,1.34,1.12,1.34,1.12,1.34,1.12,1.34,1.12,1.34,1.12,1.34,1.13,1.34,1.13,1.34,1.13,1.35,1.13,1.34,1.13,1.34,1.13,1.34,1.13,1.35,1.13,1.35,1.13,1.35,1.13,1.35,1.14,1.35,1.14,1.35,1.14,1.35,1.14,1.35,1.14,1.35,1.14,1.35,1.14,1.36,1.14,1.35,1.14,1.35,1.14,1.35,1.14,1.35,1.14,1.36,1.14,1.36,1.14,1.36,1.14,1.36,1.14,1.36,1.15,1.36,1.15,1.36,1.15,1.36,1.15,1.36,1.15,1.36,1.15,1.37,1.15,1.37,1.15,1.37,1.15,1.37,1.16,1.38,1.16,1.38,1.16,1.38,1.16,1.38,1.17,1.38,1.17,1.38,1.17,1.38,1.17,1.38,1.17,1.38,1.17,1.39,1.17,1.39,1.17,1.39,1.17,1.39,1.18,1.39,1.18,1.39,1.18,1.39,1.18,1.39,1.18,1.4,1.18,1.4,1.18,1.39,1.18,1.4,1.18,1.4,1.18,1.4,1.18,1.4,1.18,1.4,1.18,1.4,1.18,1.4,1.19,1.4,1.19,1.36,1.18,1.36,1.18,1.36,1.18,1.36,1.18,1.36,1.18,1.36,1.18,1.36,1.18,1.36,1.18,1.36,1.19,1.37,1.19,1.37,1.19,1.37,1.19,1.37,1.19,1.37,1.19,1.37,1.19,1.37,1.19,1.37,1.19,1.38,1.19,1.38,1.2,1.38,1.2,1.35,1.19,1.35,1.19
